"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Drew Peterson","Bos","F","24.4","1","2.6","16.7","0","0","0","0","0","1","1","1.5","1.5","3","0","1","0","0","0","3","4","4","0","0","0"
"","Thaddeus Young","Pho","F","35.8","6","9.5","14.4","11.1","2","0","16","0.563","0","0","0.563","0.533","3","3.7","0.8","0.5","0.3","0.3","6.7","3.8","7.5","8.7","128","107.5"
"","Taj Gibson","Det","F","38.8","1","11","7.7","0","0","0","0","0","2","0.5","0.75","0.75","3","2","0","1","0","0","5","3","5","0","145","107.6"
"","Davis Bertans","Okc","F","31.4","15","6.1","16","3.6","15","0.933","2","0","24","0.417","0.577","0.675","2.9","0.7","0.6","0.2","0.2","0.1","3.6","3.5","4.2","7","146.4","106.9"
"","Damian Jones","Cle","C","28.7","33","7.4","15.3","17","20","0.85","52","0.692","11","0.182","0.619","0.662","2.9","1.8","0.4","0.2","0.4","0.4","4.6","3.3","5.1","6.9","123.2","103.8"
"","Luka Samanic","Uta","F","24.2","36","7","20.3","13.6","29","0.793","55","0.455","40","0.25","0.421","0.478","2.9","1.9","0.3","0.1","0.2","0.4","4.8","3.1","5","6.8","96.2","111.5"
"","Kira Lewis Jr.","Nor","G","23","15","9.6","19.6","13.2","11","0.909","32","0.438","20","0.1","0.327","0.387","2.9","0.9","1.2","0.3","0.1","0.5","3.9","4.1","5.1","6.1","89.1","112"
"","Ish Wainright","Por","F","29.5","7","6.6","18.5","5.1","2","1","2","0","16","0.375","0.5","0.53","2.9","1.3","0","0.3","0.1","0.1","4.1","2.9","4.1","0","105.8","109.9"
"","Alex Len","Sac","C","30.8","39","9.2","12.8","22.3","30","0.6","70","0.643","3","0","0.616","0.626","2.8","2.8","0.9","0.3","0.7","0.5","5.5","3.7","6.5","8.3","123.7","103.7"
"","Moses Brown","Por","C","24.5","19","8.8","17.9","13.5","25","0.24","51","0.471","0","0","0.471","0.435","2.8","3.6","0.3","0.2","0.4","0.4","6.5","3.2","6.8","6.6","98","105.1"
"","Lamar Stevens","Bos","F","26.7","19","6.4","21","16.6","11","0.727","37","0.486","8","0.375","0.5","0.532","2.8","1.6","0.4","0.3","0.3","0.5","4.4","3.2","4.8","7.6","106.6","101.1"
"","Nate Hinton","Hou","G-F","24.8","11","5.2","17.9","8.9","5","0.8","9","0.333","11","0.636","0.675","0.698","2.8","1.1","0.5","0.2","0.2","0.2","3.9","3.4","4.5","8.9","139","96.6"
"","Kira Lewis Jr.","Uta","G","23","9","6.4","19.3","16.4","6","0.833","13","0.538","7","0.286","0.5","0.552","2.8","0.9","1.3","0.1","0.1","0.4","3.7","4.1","5","9.3","119.3","124.4"
"","D.J. Carton","Tor","G","23.6","4","8.9","13.5","10.7","5","0.8","4","0.5","4","0.25","0.438","0.539","2.8","1","0.8","0.3","0","0.3","3.8","3.5","4.5","5.9","119.9","115.3"
"","Maozinha Pereira","Mem","F","23.6","4","6.6","20.4","8.3","1","0","7","0.571","4","0.25","0.5","0.481","2.8","2.3","0","0.5","0","0.3","5","2.8","5","0","99.3","106.2"
"","Nicolas Batum","Lac","G-F","35.3","3","18","7.3","11.1","0","0","1","1","7","0.286","0.5","0.5","2.7","2.3","1.7","1","1.3","0.3","5","4.3","6.7","4.9","112.8","108.2"
"","Patty Mills","Atl","G","35.6","19","10.6","12.1","13.6","0","0","17","0.353","34","0.382","0.5","0.5","2.7","1.1","0.7","0.5","0.1","0.4","3.7","3.4","4.5","4.8","102.1","114.8"
"","Markieff Morris","Dal","F","34.6","21","8.2","16.2","15.8","4","0.75","20","0.35","33","0.394","0.5","0.511","2.7","1.5","0.6","0.2","0","0.5","4.1","3.2","4.7","6.6","97.3","112.3"
"","Anthony Gill","Was","F","31.4","43","6.7","18.1","17.8","26","0.808","66","0.545","26","0.269","0.505","0.551","2.7","1.4","0.5","0.2","0.2","0.5","4.1","3.2","4.6","7.4","107.5","113.9"
"","Dalen Terry","Chi","F","21.7","51","10.7","13","17.1","34","0.618","61","0.607","60","0.233","0.479","0.504","2.7","1.8","1.3","0.4","0.2","0.5","4.5","4","5.9","6.9","108.8","107.1"
"","Garrett Temple","Tor","G-F","37.9","20","7","14.4","13.8","10","0.9","17","0.529","20","0.4","0.568","0.616","2.6","1.4","0.8","0.4","0.1","0.3","3.9","3.4","4.7","8.2","124.9","111.2"
"","Otto Porter Jr.","Tor","F","30.8","15","11.6","8.9","5.6","3","1","10","0.6","23","0.348","0.545","0.568","2.6","1.9","0.5","0.3","0.3","0.1","4.5","3.1","5.1","4.7","122.1","110.2"
"","Lindy Waters III","Okc","F","26.7","31","6.4","16.4","8","1","1","9","0.333","60","0.417","0.587","0.59","2.6","1","0.5","0.1","0.2","0.2","3.6","3.2","4.1","6.8","117.1","108.4"
"","JT Thor","Cha","F","21.6","55","11.9","11.6","7.8","13","0.538","85","0.424","68","0.324","0.451","0.457","2.6","2.2","0.4","0.1","0.4","0.2","4.8","3","5.2","4.4","101.3","116.2"
"","Sandro Mamukelashvili","San","F-C","24.9","38","6.4","16.9","8.9","17","0.706","45","0.667","37","0.243","0.53","0.553","2.6","1.8","0.8","0.2","0.2","0.2","4.4","3.4","5.2","9.7","122.3","110.1"
"","Moussa Diabate","Lac","F","22.2","11","5.8","18.6","9.4","14","0.643","19","0.526","0","0","0.526","0.576","2.6","2.3","0.4","0.5","0.1","0.2","4.9","3","5.3","9.2","136.1","110.1"
"","Kenneth Lofton Jr.","Mem","F","21.6","15","6.6","21.6","13.9","15","0.533","27","0.407","10","0.3","0.419","0.447","2.6","1","0.9","0.2","0.2","0.4","3.6","3.5","4.5","8","95.2","102.1"
"","Emoni Bates","Cle","F","20.2","13","7.8","17.7","5.1","4","0.25","9","0.333","28","0.321","0.446","0.439","2.6","0.8","0.5","0.1","0.2","0.2","3.5","3.2","4","5.2","94.6","113"
"","Yuta Watanabe","Mem","G-F","29.5","5","16.4","12","13.6","2","0","9","0.556","10","0.1","0.342","0.327","2.6","1.8","1","0.6","0","0.6","4.4","3.6","5.4","4.1","69.4","112.7"
"","Furkan Korkmaz","Phi","G-F","26.7","35","8.6","13.6","11.6","20","0.7","36","0.444","40","0.35","0.487","0.519","2.5","0.9","0.7","0.4","0.1","0.3","3.4","3.2","4.1","5.4","107.9","113.6"
"","Udoka Azubuike","Pho","C-F","24.5","14","7.7","12.4","15.3","11","0.273","22","0.727","0","0","0.727","0.652","2.5","2.3","0.2","0.1","0.4","0.3","4.8","2.7","5","5.4","123.1","101.2"
"","Chuma Okeke","Orl","F","25.6","42","9.8","13","11.6","5","0.4","28","0.571","79","0.291","0.472","0.472","2.5","1.8","0.5","0.2","0.2","0.3","4.3","2.9","4.7","5.3","98.8","110.4"
"","Greg Brown III","Dal","F","22.6","6","6.6","20.4","26.3","9","0.444","8","0.5","3","0.333","0.5","0.501","2.5","1.5","0.7","0","0.7","0.7","4","3.2","4.7","8.4","96.1","107.2"
"","Johnny Davis","Was","G","22.1","43","11.1","12.6","5.8","15","0.6","97","0.392","32","0.25","0.388","0.402","2.5","1.3","0.6","0.3","0.2","0.2","3.9","3.1","4.4","4.5","91.3","117"
"","Nate Williams","Hou","G","25.1","17","5.5","18.7","5.4","10","0.7","31","0.516","4","0.25","0.5","0.533","2.5","0.9","0.4","0.2","0","0.1","3.4","2.8","3.8","7","119.5","107.2"
"","Adama Sanogo","Chi","F","22.1","4","3","23.5","18.9","3","0.667","4","1","0","0","1","0.94","2.5","1.8","0","0","0","0.3","4.3","2.5","4.3","0","0","0"
"","Tosan Evbuomwan","Mem","F","23.1","4","18.5","9.3","6.3","0","0","7","0.286","8","0.25","0.333","0.333","2.5","3.5","1.5","0","0.3","0.3","6","4","7.5","5.1","103.3","114.9"
"","Isaiah Thomas","Pho","G","35.1","2","4.7","23","0","0","0","3","0.333","2","0.5","0.5","0.5","2.5","0","1","0","0","0","2.5","3.5","3.5","0","121.6","125"
"","Cory Joseph","Gol","G","32.6","26","11.4","11.2","15.7","7","0.571","22","0.455","42","0.31","0.461","0.47","2.4","1.2","1.6","0.2","0.1","0.5","3.6","4","5.2","5.8","107.7","112.8"
"","Joe Harris","Det","G-F","32.6","16","10.6","11","9.3","2","0.5","9","0.444","30","0.333","0.487","0.489","2.4","0.8","0.6","0.2","0.1","0.3","3.3","3.1","3.9","4","102.6","113.2"
"","Micah Potter","Uta","C","26","11","9.7","7.9","10.3","3","1","6","0.667","11","0.455","0.676","0.71","2.4","2.1","0.2","0","0.1","0.2","4.5","2.5","4.6","4.1","136.6","119.5"
"","Olivier Sarr","Okc","C","25.1","14","6.8","13.1","13.5","15","0.667","13","0.692","6","0.333","0.632","0.664","2.4","2.5","0.1","0","0.5","0.2","4.9","2.6","5.1","5","135.1","93.7"
"","Olivier-Maxence Prosper","Dal","F","21.7","34","7.7","15.4","6.3","34","0.676","40","0.45","34","0.235","0.405","0.467","2.4","1.8","0.6","0.1","0.1","0.1","4.3","3","4.8","7.1","111.3","112.4"
"","Danilo Gallinari","Mil","F","35.6","13","9","13.4","15.4","10","0.9","13","0.615","14","0.143","0.407","0.494","2.4","0.8","0.7","0.3","0.1","0.4","3.2","3.1","3.8","4.9","104.6","111.8"
"","Reggie Bullock Jr.","Hou","G-F","33","35","9.6","10.1","10.1","1","1","13","0.462","58","0.397","0.57","0.574","2.3","1.8","0.3","0.3","0.1","0.2","4.2","2.7","4.5","4.5","111.9","109.4"
"","Boban Marjanovic","Hou","C","35.6","12","4.6","23.2","7.6","9","0.667","22","0.5","2","0","0.458","0.501","2.3","1.9","0.3","0","0.1","0.2","4.3","2.7","4.6","9.5","110.9","103.5"
"","Dalano Banton","Bos","F","24.4","24","7.1","17.7","16.3","20","0.8","35","0.486","16","0.125","0.392","0.468","2.3","1.5","0.8","0.2","0.1","0.4","3.8","3.1","4.6","7.9","105.5","102.8"
"","Dereon Seabron","Nor","G","23.8","6","9.2","12.3","0","6","0.833","11","0.273","2","0.5","0.346","0.448","2.3","1.2","0.8","0.3","0.2","0","3.5","3.2","4.3","5.7","115","108.8"
"","Andre Jackson Jr.","Mil","G","22.4","50","10.3","9.9","21.2","11","0.727","49","0.653","40","0.375","0.612","0.623","2.3","2","1","0.3","0.1","0.5","4.4","3.3","5.3","6.5","124.6","102.4"
"","Leaky Black","Cha","F","24.8","22","9.9","10.1","11.3","14","0.643","24","0.417","15","0.467","0.526","0.554","2.3","1.7","0.8","0.2","0.3","0.2","4","3.1","4.8","5.9","119.4","116"
"","Julian Phillips","Chi","F","20.4","40","8.1","13","11.5","19","0.684","39","0.513","38","0.316","0.494","0.521","2.2","0.9","0.3","0.2","0.2","0.3","3.1","2.6","3.5","4.2","106.2","108.6"
"","Malachi Flynn","Nyk","G","25.9","14","4.3","21.9","11.4","11","0.818","10","0.5","13","0.308","0.478","0.557","2.2","0.4","0.4","0.1","0","0.2","2.6","2.6","3.1","6.6","116.3","112.6"
"","Shake Milton","Nyk","G-F","27.5","5","5.4","15.9","0","2","1","7","0.429","2","0.5","0.5","0.557","2.2","1.2","0.8","0.2","0","0","3.4","3","4.2","9.5","136.8","83.7"
"","Trent Forrest","Atl","G","25.8","35","10.9","11.5","17.1","16","0.813","72","0.389","10","0.2","0.378","0.421","2.1","1.3","2.4","0.3","0.1","0.5","3.4","4.6","5.9","6.9","110.2","117.4"
"","Jericho Sims","Nyk","C","25.4","43","13.1","6.1","22.8","22","0.636","54","0.704","0","0","0.704","0.707","2.1","3.3","0.6","0.2","0.4","0.4","5.4","2.7","6","4.9","135.2","108.1"
"","AJ Griffin","Atl","F","20.6","18","7.4","16.3","11.7","2","1","12","0.333","33","0.273","0.389","0.403","2.1","0.8","0.2","0.1","0.1","0.3","2.8","2.3","3.1","3.8","81.8","120.7"
"","P.J. Tucker","Phi","F","38.9","3","22.1","4.5","28.6","0","0","0","0","5","0.4","0.6","0.6","2","4.7","0","1","0.7","0.7","6.7","2","6.7","0","87.2","101.4"
"","Daniel Theis","Ind","F-C","32","1","8.4","20","0","0","0","3","0.333","1","0","0.25","0.25","2","0","0","0","0","0","2","2","2","0","54.5","116"
"","Lindell Wigginton","Mil","G","26","3","2.5","38.9","15.5","2","1","3","0.667","2","0","0.4","0.51","2","0","0","0","0","0.3","2","2","2","0","0","0"
"","Ty Jerome","Cle","G-F","26.7","2","7.4","14.9","20","0","0","3","0.667","1","0","0.5","0.5","2","0.5","1.5","0","0","0.5","2.5","3.5","4","6.2","111","106.9"
"","Jordan Ford","Sac","G","25.8","6","3.6","17.4","11.8","2","1","4","0.5","3","0.667","0.714","0.761","2","0.3","0.3","0","0","0.2","2.3","2.3","2.7","6.3","0","0"
"","Brandon Williams","Dal","G","24.4","12","4.9","21.6","11.9","11","0.545","16","0.375","6","0.333","0.409","0.447","2","0.6","1","0.1","0.1","0.3","2.6","3","3.6","8.7","106.4","118.9"
"","Isaiah Mobley","Cle","F","24.5","6","8.5","12.1","7.1","0","0","6","0.5","7","0.286","0.462","0.462","2","1","1","0.2","0","0.2","3","3","4","5.9","105.8","106.3"
"","Colin Castleton","Lal","C","23.8","9","4.4","14","8.7","4","1","10","0.7","0","0","0.7","0.765","2","1","0.3","0","0","0.1","3","2.3","3.3","7.7","155.3","101.9"
"","D'Moi Hodge","Lal","G","25.3","7","5.9","17.7","6.2","2","0.5","3","0.667","12","0.25","0.433","0.441","2","0","0.7","0.1","0.1","0.1","2","2.7","2.7","0","96.9","112.4"
"","Markquis Nowell","Tor","G","24.3","1","3.5","23","0","2","1","1","0","0","0","0","0.532","2","2","2","1","0","0","4","4","6","22.9","0","0"
"","Kevon Harris","Orl","G","26.8","2","3.1","28.6","25","0","0","3","0.667","0","0","0.667","0.667","2","1","0.5","0","0","0.5","3","2.5","3.5","12.9","0","0"
"","Taze Moore","Por","G","25.8","3","3.4","25.1","16.7","0","0","3","1","2","0","0.6","0.6","2","0","0.3","0.3","0","0.3","2","2.3","2.3","0","0","0"
"","Henri Drell","Chi","F","23.9","1","2.9","30.3","0","0","0","1","1","1","0","0.5","0.5","2","1","2","0","0","0","3","4","5","21.9","0","0"
"","Cody Zeller","Nor","F-C","31.5","40","7.6","13.1","19.9","38","0.605","57","0.421","3","0.333","0.425","0.482","1.9","2.7","0.9","0.2","0.1","0.4","4.6","2.8","5.5","8.8","118.2","99.3"
"","Colby Jones","Sac","G","21.8","22","6.5","18.4","10.1","5","0.4","38","0.474","15","0.067","0.368","0.371","1.9","1.3","0.6","0.2","0","0.3","3.2","2.5","3.8","7","91.7","105.9"
"","Daishen Nix","Min","G","22.1","12","3.3","26.9","9","4","0.25","6","0.5","14","0.357","0.525","0.506","1.8","0.1","0.2","0.3","0","0.2","1.9","2","2.1","4","0","0"
"","Kessler Edwards","Sac","F","23.6","47","5","13.9","4","6","0.667","27","0.481","44","0.386","0.542","0.55","1.7","0.8","0.2","0.2","0.1","0.1","2.6","2","2.8","5.2","117","109.6"
"","Jamaree Bouyea","Por","G","24.8","6","9.5","21.6","27.6","0","0","13","0.385","8","0","0.238","0.238","1.7","1.7","1.3","0","0","1.3","3.3","3","4.7","6.5","54.9","118.2"
"","Kobe Brown","Lac","F","24.2","38","7.9","10.7","9.7","2","0.5","26","0.538","39","0.308","0.492","0.493","1.7","1.2","0.4","0.2","0.1","0.2","2.9","2.2","3.4","4.7","106.6","105.3"
"","Jermaine Samuels Jr.","Hou","F","25.4","11","4.8","9.5","0","2","1","9","0.889","2","0","0.727","0.758","1.6","1","0.2","0.1","0.1","0","2.6","1.8","2.8","5.7","160.8","108.2"
"","Jalen Hood-Schifino","Lal","G","20.8","21","5.2","24.9","16.6","20","0.6","30","0.267","15","0.133","0.244","0.316","1.6","0.6","0.4","0.1","0.1","0.4","2.2","2","2.6","5.6","66.2","107.1"
"","Jett Howard","Orl","G","20.5","14","3.7","22.6","7.9","4","0.5","5","0.6","18","0.278","0.457","0.464","1.6","0.4","0.2","0","0.1","0.1","2","1.9","2.2","5.4","0","0"
"","Seth Lundy","Atl","G","24","9","5.8","15.8","5.5","4","0.75","4","0.25","13","0.231","0.324","0.373","1.6","0.8","0","0","0","0.1","2.3","1.6","2.3","0","82.3","112.9"
"","Jordan Miller","Lac","G","24.2","8","3.5","17","9.6","2","1","7","0.571","2","0.5","0.611","0.658","1.6","0.6","0","0","0","0.1","2.3","1.6","2.3","0","0","0"
"","Skylar Mays","Lal","G","26.6","14","5.1","13.3","9.1","0","0","15","0.533","5","0.4","0.55","0.55","1.6","0.4","0.6","0.4","0.1","0.1","2","2.2","2.6","5.7","114.7","108.4"
"","Keita Bates-Diop","Bro","F","28.2","14","4.8","13.2","10.8","6","1","11","0.636","5","0.2","0.531","0.617","1.6","0.6","0.3","0.2","0.1","0.1","2.3","1.9","2.6","5.5","123.5","116.6"
"","Mouhamadou Gueye","Tor","F","25.7","7","8.2","19.3","24.9","4","0.25","17","0.294","1","0","0.278","0.278","1.6","1.4","0.1","0.1","1.1","0.9","3","1.7","3.1","3","62.1","113.5"
"","David Roddy","Pho","F","23","14","4","19.5","11.8","1","1","14","0.643","8","0.125","0.477","0.49","1.6","0.6","0.2","0.1","0","0.2","2.2","1.8","2.4","5.8","96.1","115.4"
"","P.J. Tucker","Lac","F","38.9","22","14.7","5.6","14.8","3","1","10","0.3","24","0.333","0.441","0.467","1.5","2.6","0.5","0.5","0.2","0.3","4.1","2","4.6","3.4","117","107.3"
"","Jalen Pickett","Den","G","24.4","23","4.9","15.7","20.3","4","0.75","9","0.556","22","0.318","0.5","0.519","1.5","0.5","0.7","0.1","0","0.3","2","2.2","2.7","6.6","101.6","106.8"
"","Filip Petrusev","Sac","C","24","2","3.3","18.6","0","2","0.5","2","0.5","0","0","0.5","0.521","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Ibou Badji","Por","C","21.5","21","10.3","7.8","40.9","12","0.5","20","0.65","0","0","0.65","0.633","1.5","2.4","0.6","0.1","1","0.7","4","2.1","4.6","5","104.9","100.1"
"","Josh Minott","Min","F","21.3","26","2.7","22.1","6.8","14","0.857","19","0.526","8","0.25","0.481","0.573","1.5","0.5","0.2","0.2","0.2","0.1","2","1.6","2.1","7.9","0","0"
"","Dariq Whitehead","Bro","F","19.7","2","12","10.6","0","2","0.5","2","0.5","3","0","0.2","0.255","1.5","2","1.5","0","0.5","0","3.5","3","5","5.5","83.7","121.3"
"","Dylan Windler","Lal","G-F","27.5","8","3.5","14","0","0","0","1","0","8","0.5","0.667","0.667","1.5","0.4","0.8","0","0","0","1.9","2.3","2.6","8.9","0","0"
"","Tristan Vukcevic","Was","F","21.1","4","4.7","20.4","22.2","0","0","2","0","5","0.4","0.429","0.429","1.5","1.8","0","0.3","0.3","0.5","3.3","1.5","3.3","0","63.4","98.2"
"","Jerome Robinson","Gol","G","27.1","19","3.6","21.7","6.4","10","0.6","14","0.5","15","0.133","0.345","0.389","1.4","0.3","0.3","0","0.2","0.1","1.6","1.6","1.9","5.6","0","0"
"","Terry Taylor","Chi","F","24.5","30","5.9","11.2","15.8","3","0.667","28","0.607","9","0.222","0.541","0.548","1.4","1.2","0.3","0.1","0.1","0.2","2.6","1.7","2.9","5.4","112.9","110.8"
"","Kendall Brown","Ind","G","20.9","12","3.6","14","8.9","8","0.625","9","0.667","1","0","0.6","0.629","1.4","0.3","0.3","0","0","0.1","1.8","1.8","2.1","5.6","0","0"
"","Leonard Miller","Min","F","20.3","11","3","16.1","8.3","0","0","8","0.75","3","0.333","0.682","0.682","1.4","1.1","0.5","0.1","0.1","0.1","2.5","1.8","2.9","12.2","0","0"
"","Jacob Toppin","Nyk","F","23.9","9","4.2","12.2","9.6","2","1","5","0.8","4","0.25","0.611","0.658","1.4","0.8","0.3","0","0.1","0.1","2.2","1.8","2.6","6.6","138.8","110.2"
"","R.J. Hampton","Mia","G","23.1","8","9.5","10.5","17.4","2","0.5","6","0.5","8","0.125","0.321","0.336","1.3","0.8","1","0","0","0.4","2","2.3","3","4.3","84.5","108.2"
"","JD Davison","Bos","G","21.5","6","1.9","14.8","0","2","1","0","0","3","0.667","1","1.031","1.3","0.5","0.2","0","0","0","1.8","1.5","2","10.7","0","0"
"","Nathan Mensah","Cha","C","26","25","12.3","6.8","33.1","12","0.75","28","0.429","0","0","0.429","0.496","1.3","2.6","0.4","0.2","0.6","0.6","3.9","1.7","4.3","3.6","102.6","100.7"
"","Theo Maledon","Pho","G","22.8","4","3.3","27.5","40.3","3","1","4","0.25","0","0","0.25","0.47","1.3","0.3","0","0","0","0.8","1.5","1.3","1.5","0","0","0"
"","Xavier Moon","Lac","G","29.2","9","4.1","22.4","22","2","0.5","9","0.556","5","0","0.357","0.37","1.2","0.6","0.8","0.1","0.1","0.4","1.8","2","2.6","8.1","84","109.8"
"","Aleksej Pokusevski","Okc","F","22.3","10","6.1","14.9","15.6","4","0.5","5","0.4","11","0.182","0.313","0.338","1.2","1","0.5","0.1","0.1","0.3","2.2","1.7","2.7","5.5","78.9","109.4"
"","Jay Huff","Den","C","26.6","16","2.5","16.2","6.9","2","1","4","1","9","0.333","0.654","0.684","1.2","0.6","0.1","0.1","0.1","0.1","1.8","1.3","1.9","6.7","0","0"
"","Justin Minaya","Por","F","25","28","7.7","10.2","14.5","8","0.5","15","0.4","26","0.231","0.366","0.382","1.2","1.1","0.3","0.2","0.3","0.3","2.4","1.5","2.7","3.8","89.8","115.7"
"","Keyontae Johnson","Okc","F","23.8","9","7.4","13.1","20","0","0","13","0.308","3","0.333","0.344","0.344","1.2","1.1","0.4","0.1","0","0.4","2.3","1.7","2.8","4.4","78.6","111.7"
"","Hunter Tyson","Den","F","23.8","13","2.8","21.3","11.1","0","0","5","0.6","11","0.273","0.469","0.469","1.2","0.7","0.2","0","0","0.2","1.8","1.3","2","7.9","0","0"
"","Robin Lopez","Mil","C","36","16","4","14.5","9.3","2","1","11","0.455","8","0.25","0.421","0.453","1.1","0.3","0.3","0.1","0.2","0.1","1.4","1.4","1.7","4.6","100.2","111"
"","Braxton Key","Den","F","27.1","19","3.1","15.4","5.5","6","0.667","12","0.417","5","0.4","0.471","0.509","1.1","0.8","0.5","0.1","0.1","0.1","1.9","1.5","2.4","9.8","0","0"
"","Chris Livingston","Mil","F","20.5","17","4.2","13.7","17.8","2","1","14","0.5","4","0.25","0.472","0.503","1.1","0.9","0.3","0.1","0","0.2","2","1.4","2.3","6.4","96.9","101.5"
"","Jaden Springer","Bos","G","21.5","13","5.5","14","17.8","2","1","11","0.545","7","0","0.333","0.371","1.1","0.8","0.4","0.2","0.2","0.3","1.9","1.5","2.3","5.1","94.2","101.4"
"","James Johnson","Ind","F","37.1","8","5.1","14.4","29.8","2","1","7","0.429","2","0","0.333","0.405","1","0.5","0.9","0.6","0.1","0.5","1.5","1.9","2.4","6","85.8","100.8"
"","Taj Gibson","Nyk","F","38.8","16","10.3","7.5","17.6","2","1","17","0.412","6","0","0.304","0.335","1","1.8","0.6","0.1","0.4","0.3","2.8","1.6","3.3","4","90.7","99"
"","Admiral Schofield","Orl","F","27","20","3.6","16.4","15.4","2","0","9","0.444","13","0.308","0.455","0.437","1","0.7","0.3","0.1","0","0.2","1.7","1.3","1.9","6.6","0","0"
"","Dylan Windler","Nyk","G-F","27.5","3","2.5","11.6","0","0","0","0","0","2","0.5","0.75","0.75","1","0.3","0.3","0","0","0","1.3","1.3","1.7","7.2","0","0"
"","Joshua Primo","Lac","G","21.3","2","5.2","29.9","57.1","0","0","2","0.5","1","0","0.333","0.333","1","0.5","0","0","0.5","2","1.5","1","1.5","0","36.8","125.8"
"","Sidy Cissoko","San","G","20","6","5.3","11.6","13.4","4","1","2","0.5","4","0","0.167","0.387","1","1","0","0.5","0","0.2","2","1","2","0","77","109.5"
"","Alex Fudge","Lal","F","20.9","4","3.6","23.5","13.4","2","1","4","0.25","2","0","0.167","0.291","1","0.5","0","0","0","0.3","1.5","1","1.5","0","0","0"
"","Kenneth Lofton Jr.","Phi","F","21.6","2","4.4","39.2","25","0","0","4","0.25","2","0","0.167","0.167","1","1.5","0","0","0","1","2.5","1","2.5","0","26.9","114.6"
"","Hamidou Diallo","Was","G","25.7","2","2.4","26.3","33.3","0","0","2","0.5","0","0","0.5","0.5","1","1","0.5","1","0","0.5","2","1.5","2.5","13.2","0","0"
"","Jordan Walsh","Bos","G","20.1","6","6.7","10.9","20","0","0","4","0.75","4","0","0.375","0.375","1","2.2","0.7","0.3","0.2","0.3","3.2","1.7","3.8","6.9","96.4","94.5"
"","Frank Ntilikina","Cha","G","25.7","5","8.6","11.2","9.6","2","1","1","0","8","0.125","0.167","0.253","1","1.2","0.8","0","0","0.2","2.2","1.8","3","4.6","74.9","115.3"
"","Jason Preston","Uta","G","24.6","4","7.6","11","25","0","0","6","0.333","0","0","0.333","0.333","1","1.8","1.8","0.3","0","0.5","2.8","2.8","4.5","7.8","102.6","120"
